procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 693748 6637012   3552 50855444    0    0 128756     0 2771 2003  4  1 95  1  0  0
 1  0 693748 6512820   3552 50974400    0    0 118956     0 2694 1866  4  0 95  1  0  0
 2  0 693748 6386184   3560 51093436    0    0 119432    68 2837 1995  4  0 95  1  0  0
 1  0 693744 6276100   3560 51197792   28    0 103980     8 2971 1962  4  1 95  1  0  0
 1  0 693744 6171080   3560 51293884    4    0 96096     0 2834 1797  4  1 95  1  0  0
 1  0 693744 6070356   3560 51388052    0    0 94304     0 2812 1712  4  1 95  1  0  0
 0  1 693744 6009884   3560 51448140    4    0 59956     0 2271 1205  4  0 95  1  0  0
 1  0 693744 5948348   3568 51503700    0    0 55468   192 2341 1256  4  0 95  1  0  0
 1  0 693744 5882724   3568 51565208   32    0 61632     0 2263 1281  4  0 95  1  0  0
 1  0 692464 5790248   3572 51646776  644    0 83136     0 4913 3626  4  1 93  2  0  0
 1  0 692464 5720492   3572 51712304   12    0 65540     0 2391 1307  4  0 95  1  0  0
 1  0 692464 5641944   3572 51785068    0    0 71844     0 2567 1437  4  0 95  1  0  0
 1  0 692464 5569884   3580 51852864    0    0 67804    44 2566 1444  4  0 95  1  0  0
 2  0 692456 5489740   3580 51926064   28    0 73252     0 2697 1458  4  0 95  1  0  0
 0  1 692452 5430744   3580 51984624   12    0 58532     0 2398 1290  4  0 95  1  0  0
 1  0 692452 5409044   3580 52001604    4    0 16984     0 1856  736  5  0 95  0  0  0
 2  0 692452 5356268   3580 52048012    4    0 46412     0 1975 1061  4  0 95  1  0  0
 1  0 692452 5295304   3588 52104668    0    0 56664    44 2360 1291  4  0 95  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 692452 5235520   3588 52158200    0    0 53524     0 2430 1238  4  0 95  1  0  0
 1  0 692448 5181576   3588 52207184    4    0 48988     0 2349 1269  4  0 95  1  0  0
 1  0 692448 5122436   3588 52259748    0    0 52564     0 2334 1285  4  0 95  1  0  0
 1  0 692448 5069208   3588 52308636    0    0 49044     0 2328 1248  4  0 95  1  0  0
 0  1 692448 5039488   3588 52337572    0    0 29188     0 2081  868  4  0 95  0  0  0
 2  0 692448 5020136   3596 52351908   12    0 13932    44 1769  761  5  0 95  0  0  0
 1  0 692448 4982012   3596 52392476    4    0 40572     0 2246 1104  3  2 95  1  0  0
 1  0 692380 4939984   3596 52434184   32    0 42388     0 2345 1178  3  2 95  1  0  0
 1  0 692380 4897996   3596 52474840    0    0 40372     0 2174 1153  3  2 95  1  0  0
 1  0 692320 4858780   3596 52511800   84    0 37432     0 2446 1483  3  2 94  0  0  0
 1  0 692312 4820664   3604 52547432    8    0 34932    60 2160 1171  3  2 95  0  0  0
 1  0 692312 4786104   3604 52579408    0    0 31928     0 1942  974  3  2 95  0  0  0
 1  0 692312 7168196   3260 50226508   16    0 31444     0 2402 1056  3  3 93  0  0  0
 1  1 692304 6914232   3260 50254620    8    0 27776     0 2839 1062  3  4 92  0  0  0
 2  0 692304 6920360   3260 50264212    0    0  9300     0 2610  572  3  7 90  0  0  0
 1  0 692300 6897308   3268 50299536    4    0 35336    96 2563 1070  3  4 92  0  0  0
 1  0 692296 6863816   3268 50331880   44    0 32408     0 2121 1076  3  2 95  0  0  0
 1  0 692296 6846984   3268 50363048    0    0 31556     0 1962  968  3  2 95  0  0  0
 1  0 692296 6830100   3268 50391752    0    0 28308     0 2079  956  3  2 95  0  0  0
 1  0 692296 6810176   3268 50423216    4    0 31688     0 2020  970  3  2 95  0  0  0
 1  0 692296 6817788   3280 50426052    0    0  2596   128 1624  514  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 692296 6799992   3280 50452996    0    0 26940     0 1891  914  3  2 95  0  0  0
 1  0 692296 6777920   3280 50477972  152    0 25128     0 1907 1015  3  2 95  0  0  0
 1  0 692296 6749228   3280 50506556    0    0 28584     0 1912  957  3  2 95  0  0  0
 1  0 692296 6725564   3280 50530004    0    0 23444     0 1951  870  3  2 95  0  0  0
 1  0 692296 6702416   3288 50553288    0    0 23292    56 2015  951  3  2 95  0  0  0
 2  0 692292 6675552   3288 50577544   12    0 24616     0 2294 1056  3  2 95  0  0  0
 1  0 692292 6654600   3288 50598740    0    0 21088     0 1813  852  3  1 95  0  0  0
 0  1 692284 6638244   3288 50614572   36    0 15620     0 1806  729  3  2 95  0  0  0
 1  0 692284 6633468   3288 50619140    0    0  4568     0 1484  479  3  2 95  0  0  0
 1  0 692284 6611556   3296 50641208    0    0 22068    72 1928  893  3  2 95  0  0  0
 1  0 692284 6589540   3296 50663176    0    0 21964     0 1831  890  3  2 95  0  0  0
 1  0 692284 6569660   3296 50682604    0    0 19428     0 1931  863  4  2 95  0  0  0
 1  0 692284 6564116   3296 50699488    0    0 16884     0 1811  810  3  2 95  0  0  0
 1  0 692284 6563576   3296 50718040    0    0 18888     0 1901  837  3  2 95  0  0  0
 1  0 692284 6563324   3304 50725192    0    0  6812    44 1710  591  3  2 95  0  0  0
 1  0 692284 6563324   3304 50735192    8    0 10008     0 1686  593  3  2 95  0  0  0
 2  0 692284 6562824   3304 50753564    0    0 18372     0 1907  836  3  2 95  0  0  0
 1  0 692284 6562824   3304 50771328    0    0 17764     0 1915  841  3  1 95  0  0  0
 1  0 692284 6562444   3304 50784376    4    0 13052     0 1947  772  3  2 95  0  0  0
 1  0 692284 6562192   3304 50797528    0    0 13152     0 1828  691  3  2 95  0  0  0
 0  1 692284 6561688   3312 50805848    0    0  8328    56 1699  593  4  1 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 692280 6561688   3312 50812976    4    0  7120     0 1570  553  3  2 95  0  0  0
 1  0 692280 6548096   3312 50826024    0    0 13048     0 1836  754  3  2 95  0  0  0
 1  0 692280 6535760   3312 50837896    4    0 11876     0 1736  702  3  2 95  0  0  0
 1  0 692280 6523928   3312 50849872    4    0 11976     0 1789  691  3  2 95  0  0  0
 1  0 692268 6506576   3324 50865084   32    0 15520    72 2261 1031  4  2 94  0  0  0
 2  0 692256 6503712   3324 50865376   12    0    12     0 1437  444  3  2 95  0  0  0
 1  0 692256 6401608   3324 50879028    0    0 13652     0 1886  621  3  3 94  0  0  0
 1  0 692256 6389712   3324 50891176    0    0 12148     0 1807  711  4  1 95  0  0  0
 1  0 692256 6375124   3324 50905212    0    0 14036     0 1887  794  3  2 95  0  0  0
 1  0 692256 6362032   3332 50916228    0    0 11016    92 2070  785  3  2 95  0  0  0
 2  0 692256 6362032   3332 50916232    0    0     0     0 1372  351  3  2 95  0  0  0
 1  0 692256 6351952   3332 50926280    0    0 10048     0 1821  672  3  2 95  0  0  0
 2  0 692256 6339908   3332 50937988    0    0 11708     0 1817  723  3  1 95  0  0  0
 1  0 692256 6329800   3332 50948168    8    0 10384     0 1776  644  3  2 95  0  0  0
 1  0 692256 6318672   3340 50959396   20    0 11048   116 1829  730  4  1 95  0  0  0
 1  0 692256 6318672   3340 50959396    0    0     0     0 1363  374  3  2 95  0  0  0
 1  0 692256 6306840   3340 50970912    0    0 11516     0 1819  753  3  2 95  0  0  0
 1  0 692256 6297528   3340 50980052    0    0  9140     0 1710  610  4  1 95  0  0  0
 1  0 692256 6289980   3340 50987600    0    0  7720     0 1730  585  3  2 95  0  0  0
 1  0 692252 6287924   3348 50987764    0    0     0    44 1678  484  4  1 95  0  0  0
 1  0 692252 6279700   3348 50997256    0    0  9492     0 1595  666  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 692216 6271204   3348 51005256   20    0  8412     0 1892  796  4  1 95  0  0  0
 2  0 692216 6259768   3348 51015444    0    0  9784     0 1907  636  3  2 95  0  0  0
 1  0 692216 6250460   3348 51024772    0    0  9324     0 1910  731  4  1 95  0  0  0
 1  0 692216 6249452   3356 51024764    0    0     0    44 1660  461  3  2 94  0  0  0
 1  0 692216 6243428   3356 51030740   16    0  5984     0 1776  675  3  2 95  0  0  0
 2  0 692212 6233360   3356 51040360    4    0  9624     0 1842  648  3  2 95  0  0  0
 1  0 692212 6225488   3356 51046220    0    0  6288     0 1911  598  3  2 95  0  0  0
 1  0 692096 6225308   3356 51046648   80    0    80     0 1575  561  3  2 95  0  0  0
 1  0 692096 6218264   3364 51053572    0    0  6924    44 1943  627  3  2 95  0  0  0
 2  0 692096 6211712   3368 51060212    0    0  6628    16 1868  731  3  2 95  0  0  0
 1  0 692096 6203912   3368 51067316    0    0  7204     0 1785  686  3  2 95  0  0  0
 1  0 692096 6203660   3368 51067420    0    0     0     0 1495  502  3  2 95  0  0  0
 1  0 692096 6198364   3368 51073452    0    0  6036     0 1934  724  3  2 95  0  0  0
 1  0 692092 6190516   3376 51080548    8    0  7096    64 2061  831  3  2 95  0  0  0
 1  0 692092 6184300   3376 51086324   20    0  6140    16 2071  663  3  2 95  0  0  0
 1  0 692092 6184220   3376 51086668    0    0     0     0 1402  393  3  2 95  0  0  0
 1  0 692092 6177440   3376 51093520    0    0  6852     0 1682  596  3  1 95  0  0  0
 1  0 692092 6167452   3384 51099664    0    0  6336    64 2173  632  3  3 94  0  0  0
 1  0 692056 6158020   3952 51103188  260    0  4128    36 2414  973  4  2 94  0  0  0
 1  0 692052 6154236   3952 51106852    8    0  3672     4 1643  588  3  2 95  0  0  0
 1  0 692052 6000232   3952 51135988    0    0 29136     0 2024  885  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 692028 5834788   3952 51150248  212    0 14540     0 1820  775  3  2 95  0  0  0
 1  0 692028 5820952   3952 51170012   80    0 19844     0 1627  752  5  0 95  0  0  0
 1  0 692028 5808352   3960 51182980   64    0 12960    64 1827  797  5  0 95  0  0  0
 1  0 692024 5797768   3960 51193604  168    0 10944   104 1618  792  5  0 95  0  0  0
 1  0 692024 5783592   3984 51203340  704    0 10548    84 1648  939  5  0 95  0  0  0
