procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 707820 7283336   2524 60344404  660    0  7684     0 4833 1067  0 14 86  0  0  0
 4  0 707720 7282044   2652 59466108 1200    0  9596    44 10458 1545  0 16 84  0  0  0
 3  0 706204 7275084   2872 58589064 3560    0  9768     0 9756 2347  0 15 84  0  0  0
 2  0 705900 7282784   2888 57713480  268    0  1896   224 6198  898  0 12 88  0  0  0
 2  0 705860 7282328   2900 56820764   60    0  1004     0 5506  867  0 13 87  0  0  0
 3  0 705860 7280852   2900 55947148    0    0     0     0 3641  537  0 11 89  0  0  0
 2  0 705860 7282132   2908 55074888    0    0     0    84 4511  638  0 10 90  0  0  0
 4  0 705856 7385128   2908 54226080    8    0     8     0 4338  658  0 11 89  0  0  0
 2  0 705844 7972524   2908 53392160  184    0  1528     0 4145  685  0 10 90  0  0  0
 2  0 705804 8536144   2912 52811540 1252    0 186464     0 7712 5662  3  8 88  1  0  0
 2  0 705804 9227468   2912 52119916   40    0 37672     0 8148 5180  5  7 87  0  0  0
 2  0 705796 9894864   2920 51451324    0    0 62464    44 7547 5129  5  7 88  0  0  0
 1  0 703572 10337932   2928 51007016  768    0 208752    24 11759 7883  5  7 88  1  0  0
 2  0 703544 10144024   2940 51190504   44    0 183528    36 5363 5111  5  2 92  1  0  0
 1  0 703544 9991824   2940 51340712    0    0 150528     0 5256 4860  5  2 92  1  0  0
 1  0 703544 9701640   2940 51630264    0    0 289232     0 5382 5872  4  2 93  1  0  0
 3  0 703544 9535464   2944 51777692   24    0 147468    48 5044 4601  5  2 92  1  0  0
 2  0 703544 9422388   2952 51889292    0    0 111616    72 4135 3881  5  2 92  1  0  0
 1  0 703540 9330792   2952 51979404    0    0 90112     0 4484 4120  5  2 92  1  0  0
 1  0 703260 9219984   4320 52080988 2860    0 106172    84 5457 5614  5  2 92  1  0  0
 2  0 703260 9082508   4320 52217436    0    0 136448     0 4778 4501  5  2 92  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 703260 8950324   4320 52349536    8    0 131720     0 4888 4256  5  2 93  1  0  0
 1  0 703252 8779484   4320 52519780   20    0 170260     0 4616 3932  5  2 93  0  0  0
 1  1 703236 8611840   4320 52685412   40    0 165672     0 4412 3825  5  1 93  0  0  0
 1  0 703236 8441308   4328 52857104    0    0 172024    84 4389 4272  5  2 92  1  0  0
 0  1 703236 8178888   4328 53118876    0    0 261376     0 5279 5803  4  2 92  1  0  0
 1  0 703232 7984680   4328 53313000   32    0 194216     0 4233 4458  5  2 92  1  0  0
 1  0 703228 7810576   4328 53486952    4    0 173956     0 4142 3922  5  2 92  1  0  0
 1  0 703228 7643128   4328 53646568    0    0 159616     0 4500 4412  5  2 92  1  0  0
 2  0 703224 7443472   4336 53844832    4    0 198276    44 4748 4756  5  2 92  1  0  0
 2  0 703216 7274808   4336 54012628   12    0 167864     0 4396 4133  5  2 92  1  0  0
 1  1 703216 7125504   4336 54162132    0    0 149504     0 3972 3591  5  2 93  1  0  0
 1  0 703216 6961520   4336 54326248    0    0 164116     0 4475 4176  5  2 92  1  0  0
 2  0 703216 6590400   4336 54697428   28    0 371208     0 5228 4565  5  2 92  1  0  0
 2  0 703216 6432024   4340 54855700    0    0 158276   208 4549 4244  5  2 93  0  0  0
 2  0 703216 6256596   4348 55031820    0    0 176128    64 5142 4465  5  2 93  0  0  0
 2  0 703216 6075832   4348 55212568    0    0 180736     0 5365 4634  5  2 93  0  0  0
 3  0 703212 5886428   4348 55399192   20    0 186644     0 5256 4468  5  2 93  0  0  0
 2  0 703200 5704184   4484 55582440   60    0 183404     0 5730 5185  5  2 93  0  0  0
 1  0 703200 5527072   4484 55759288    0    0 176896     0 5166 4405  5  1 93  0  0  0
 1  0 703164 5330328   4492 55955892  128    0 196924    48 5679 4936  5  2 93  0  0  0
 2  0 703160 5147312   4496 56138588   12    0 182544     0 4662 4063  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 703160 4959792   4496 56325980    0    0 187392     0 4435 4047  5  2 92  1  0  0
 1  0 703160 4691764   4496 56595376   16    0 269412   192 4508 4345  5  2 93  1  0  0
 1  0 703160 4508032   4504 56779184    4    0 183816    20 4079 3939  5  2 92  1  0  0
 1  0 703160 4324948   4512 56962472    0    0 183552    68 3905 3579  4  2 93  1  0  0
 2  0 703160 4159492   4512 57128112    0    0 165376     0 3851 3795  5  2 92  2  0  0
 2  0 703160 3990552   4512 57294708    0    0 166592     0 3957 3565  5  2 93  1  0  0
 1  0 703156 3803732   4512 57480324    8    0 186012   112 4297 3728  4  2 93  1  0  0
 1  0 703156 3574532   4512 57709784    0    0 229120    16 4992 5021  5  2 93  1  0  0
