procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 630060 11480244  16932 49865932   24    0 88060     0 4291 2448  2  8 90  0  0  0
 3  0 630000 11659964  16900 49688868  132   20 93668    20 5752 3656  5  7 87  0  0  0
 4  0 629900 11688052  16900 49655544 5732  228 68936   228 7244 5925  5  8 87  0  0  0
 3  0 630764 12260264  16892 49082020   52 1008 48456  1008 5723 2398  5 10 85  0  0  0
 2  0 630828 12163376  16900 49181960   12 2380 327436  2424 8574 5568  4  9 87  0  0  0
 2  0 630876 12149268  16900 49190464   12  796 48600   796 3655  795  0  9 91  0  0  0
 2  0 695828 12194280  16900 49218888   12 64564 31700 64564 5161  878  0  9 91  0  0  0
 2  0 695848 12506032  16820 48909224  100   72 66592    72 3152  757  0 10 90  0  0  0
 2  1 695988 13045132  16824 48358724   76  236 108696   236 5205 3467  0 10 89  0  0  0
 2  0 696544 13560044  16832 47852204   40  624 152084   668 5166 3676  0 10 89  0  0  0
 3  0 696624 14171624  16832 47242196   68   88 88908    88 3823  855  1 10 89  0  0  0
 2  0 696852 14654392  16824 46762480   40 3080 53816  3080 3911 1101  2 10 88  0  0  0
 2  0 696628 14765588  16824 46630064  380    0 183384     0 8230 6664  5  8 87  0  0  0
 3  0 696612 14496900  16824 46883760   80    0 253992     0 7860 7189  5  4 91  0  0  0
 2  0 696608 14135920  16824 47272892   32    0 764076     0 9027 3943  2 10 88  0  0  0
 1  0 696604 13885508  16832 47528724   32    0 256064    44 8734 7858  5  5 90  0  0  0
 2  0 696604 13329676  16836 48061024    0    0 532716    36 8833 7153  5  6 89  0  0  0
 3  0 696824 13274120  16832 48137736    8 1952 503648  1968 6267 2210  1 10 89  0  0  0
 3  0 696880 12988992  16832 48423596    4  168 820476   168 8324 1870  0 14 86  0  0  0
 2  0 696876 12882740  16832 48530232   24    0 606324     0 7256 2236  1 11 88  0  0  0
 1  0 696876 12902036  16840 48507432   12    0 125500    56 5798 4177  4  6 90  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1 696876 12664420  16840 48614624    0    0 107152     0 6238 4639  5  5 89  0  0  0
 3  0 696840 12572676  16840 48703864   32    0 89108     0 6586 5280  5  6 88  0  0  0
 2  0 696680 12487932  16848 48784124 2300    0 82504    84 7166 6177  5  6 88  0  0  0
 3  0 696680 12415388  16848 48851284    0    0 67100     0 5985 4796  5  6 88  1  0  0
 2  0 696680 12346976  16848 48922812   16    0 71592     0 5911 4568  5  6 88  1  0  0
 2  0 696680 12255676  16848 49004812    0    0 81836     0 6324 4794  5  6 88  0  0  0
 2  0 696680 12175872  16848 49082812    8    0 77952     0 6260 4767  5  6 88  0  0  0
 2  0 696680 12104832  16856 49160360   12    0 77508    56 6151 4597  5  6 88  0  0  0
 2  0 696668 12018964  16856 49240012    8    0 79692     0 6414 4931  5  6 88  0  0  0
 4  0 696156 11682828  24556 49509624 1028    0 277164     4 13674 10698  8  3 88  1  0  0
 3  0 696152 11371916  58124 49735184    8    0 258384     0 10741 9050  9  3 87  1  0  0
 2  0 695728 11159956  58964 49931368  632    0 197736     0 14651 9599  6  4 89  1  0  0
 1  1 695708 11006992  58972 50082880   72    0 150956    88 6173 4737  5  2 92  1  0  0
 2  0 695708 10754792  58972 50335408   32    0 252436     0 7863 7375  5  2 92  1  0  0
 2  0 695708 10585840  58972 50503444  712    0 168584     0 6063 4510  5  2 92  1  0  0
 1  0 695700 10434744  58972 50654872    8    0 151308     0 5910 4586  5  2 92  1  0  0
 1  0 695700 10308984  58972 50778540    0    0 123572     0 5497 4616  5  2 92  1  0  0
 1  0 695688 10166124  58980 50919952   52    0 141348    44 6187 5474  5  2 92  1  0  0
 2  0 695680 10013880  58980 51072024    8    0 151940     0 5870 5184  5  2 92  1  0  0
 2  0 695680 9938972  58980 51145896    0    0 74060     0 4338 3668  5  2 93  0  0  0
 1  0 695680 9815048  58980 51268772   92    0 122640     0 5125 4506  5  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 695644 9625840  58980 51457976   60    0 189064     0 6686 4825  5  2 92  1  0  0
 1  0 695640 9506184  58980 51577480    0    0 119504     0 5560 4415  5  2 92  0  0  0
 3  0 695004 9324028  58992 51756392  992    0 179788    48 9754 8521  5  2 91  2  0  0
 2  0 694996 9104004  58992 51976480    8    0 220164     0 7818 6247  5  2 92  1  0  0
 2  0 694996 8907196  58992 52171712   12    0 194864     0 7084 6346  5  2 92  1  0  0
 2  0 694996 8689640  58992 52387160    0    0 215252     0 7456 5450  5  2 92  1  0  0
